,image_name,coarse_grained_class,caption,class_id
0,eval/images/hat_44b4dad8c9_2_00150.jpg,hat,an * on the head of a person with a dark blue shirt.,hat_44b4dad8c9_2
1,eval/images/shark_2cc5d9c5f6_3_00175.jpg,shark,* is underneath the big darker shark.,shark_2cc5d9c5f6_3
2,eval/images/airplane_728cda9b65_1_00085.jpg,airplane,an * with white smoke next to one with blue smoke.,airplane_728cda9b65_1
3,eval/images/lion_da6003fc72_2_00145.jpg,lion,tail of * is near the legs of the man.,lion_da6003fc72_2
4,eval/images/cow_161eb59aad_2_00095.jpg,cow,an * next to a baby giraffe.,cow_161eb59aad_2
5,eval/images/sheep_827cf4f886_2_00090.jpg,sheep,* stands in the middle of broken branches.,sheep_827cf4f886_2
6,eval/images/dog_80db581acd_2_00095.jpg,dog,an * with light brown and white fur.,dog_80db581acd_2
7,eval/images/hat_eb6d7ab39e_3_00115.jpg,hat,a white * being worn by a man in a blue shirt.,hat_eb6d7ab39e_3
8,eval/images/sheep_9e6ddbb52d_1_00090.jpg,sheep,an * walking in front of another sheep.,sheep_9e6ddbb52d_1
9,eval/images/frisbee_c34d120a88_1_00175.jpg,frisbee,* lays on the ground between two dark square objects.,frisbee_c34d120a88_1
10,eval/images/duck_4b3154c159_1_00165.jpg,duck,an * dips its head in the water.,duck_4b3154c159_1
11,eval/images/bird_0866d4c5e3_1_00090.jpg,bird,an * with it's peak in the ground.,bird_0866d4c5e3_1
12,eval/images/monkey_2fc9520b53_5_00175.jpg,monkey,a yellow * being held by another monkey.,monkey_2fc9520b53_5
13,eval/images/person_946d71fb5d_1_00095.jpg,person,an * riding a horse.,person_946d71fb5d_1
14,eval/images/person_3aa7fce8b6_1_00090.jpg,person,an * is balding.,person_3aa7fce8b6_1
15,eval/images/giraffe_03a06cc98a_2_00095.jpg,giraffe,*'s neck is parallel to the pole with the thatched umbrella top.,giraffe_03a06cc98a_2
16,eval/images/hat_eb6d7ab39e_2_00115.jpg,hat,* is on the head of a man whose shoulders are draped in a plaid scarf.,hat_eb6d7ab39e_2
17,eval/images/sheep_a9c9c1517e_5_00055.jpg,sheep,an * is white with black splotches.,sheep_a9c9c1517e_5
18,eval/images/ape_30c35c64a4_1_00145.jpg,ape,an * holding a baby.,ape_30c35c64a4_1
19,eval/images/person_8ff61619f6_2_00275.jpg,person,an * in an orange dress next to a vehicle.,person_8ff61619f6_2
20,eval/images/bear_728e81c319_2_00090.jpg,bear,an * walking beside a larger bear.,bear_728e81c319_2
21,eval/images/zebra_f9e4cc5a0a_2_00095.jpg,zebra,* stands sideways with its rear above water touching the rear of a zebra.,zebra_f9e4cc5a0a_2
22,eval/images/dolphin_0f2ab8b1ff_3_00175.jpg,dolphin,an * to the far right of the other dolphins.,dolphin_0f2ab8b1ff_3
23,eval/images/parrot_c36240d96f_1_00145.jpg,parrot,an * standing over a blue shoe.,parrot_c36240d96f_1
24,eval/images/parrot_365f459863_1_00175.jpg,parrot,an * closest to the corner of the roof.,parrot_365f459863_1
25,eval/images/rabbit_e6295f223f_4_00175.jpg,rabbit,a small white * that would have to travel farthest to get to the opening of the box.,rabbit_e6295f223f_4
26,eval/images/zebra_f9e4cc5a0a_1_00095.jpg,zebra,*'s rear end is above water and touches rear of another zebra who faces sideways.,zebra_f9e4cc5a0a_1
27,eval/images/parrot_351cfd6bc5_2_00175.jpg,parrot,yellow * stands on edge of food bowl and touches a blue parrot.,parrot_351cfd6bc5_2
28,eval/images/person_05a0a513df_1_00095.jpg,person,an * with a blue and yellow jacket.,person_05a0a513df_1
29,eval/images/person_3a079fb484_2_00175.jpg,person,an * attached to a person.,person_3a079fb484_2
30,eval/images/fish_1180cbf814_1_00175.jpg,fish,an * swimming above the rocks.,fish_1180cbf814_1
31,eval/images/zebra_4783d2ab87_2_00095.jpg,zebra,"an * mostly hidden behind another animal, with only its head and back legs visible.",zebra_4783d2ab87_2
32,eval/images/sheep_779e847a9a_1_00080.jpg,sheep,an * behind another sheep.,sheep_779e847a9a_1
33,eval/images/cow_161eb59aad_3_00095.jpg,cow,an * grazing next to a white branch.,cow_161eb59aad_3
34,eval/images/rabbit_e6295f223f_3_00175.jpg,rabbit,an * hiding inside of a box.,rabbit_e6295f223f_3
35,eval/images/person_731b825695_1_00140.jpg,person,an * that is bent over.,person_731b825695_1
36,eval/images/person_193ffaa217_3_00090.jpg,person,* is straddling but not seated on the bike whose front wheel touches the white line.,person_193ffaa217_3
37,eval/images/sedan_5a4a785006_2_00095.jpg,sedan,a red * parked in front of a yellow car.,sedan_5a4a785006_2
38,eval/images/duck_afb71e22c5_3_00090.jpg,duck,an * is almost touching a duck.,duck_afb71e22c5_3
39,eval/images/monkey_2fc9520b53_1_00175.jpg,monkey,an * sitting behind six other monkeys.,monkey_2fc9520b53_1
40,eval/images/earless_seal_1e1a18c45a_3_00175.jpg,earless_seal,the front of an *  with its nose extended directly upward towards the sky.,earless_seal_1e1a18c45a_3
41,eval/images/rabbit_6bf584200f_2_00170.jpg,rabbit,an * stands behind white bars.,rabbit_6bf584200f_2
42,eval/images/giraffe_c3be369fdb_3_00090.jpg,giraffe,* stands alone facing forward by a group of rocks.,giraffe_c3be369fdb_3
43,eval/images/person_d38bc77e2c_1_00195.jpg,person,an * wearing a black and white striped shirt.,person_d38bc77e2c_1
44,eval/images/monkey_ff5a1ec4f3_2_00175.jpg,monkey,an * standing on the back of a bicycle.,monkey_ff5a1ec4f3_2
45,eval/images/person_0891ac2eb6_3_00080.jpg,person,an * sitting on a chair talking to someone.,person_0891ac2eb6_3
46,eval/images/parrot_5158d6e985_2_00175.jpg,parrot,an * perched on a branch while facing right.,parrot_5158d6e985_2
47,eval/images/zebra_6cccc985e0_1_00095.jpg,zebra,* is closest to the zebra that faces directly forward.,zebra_6cccc985e0_1
48,eval/images/sheep_b4d84bc371_5_00175.jpg,sheep,an * has a blue tag on its ear.,sheep_b4d84bc371_5
49,eval/images/dolphin_24866b4e6a_3_00145.jpg,dolphin,an * crosses a large dolphins rear fin while swimming down.,dolphin_24866b4e6a_3
50,eval/images/person_51e85b347b_2_00175.jpg,person,an * driving a red motorcycle with their left foot on the ground.,person_51e85b347b_2
51,eval/images/fish_a74b9ca19c_2_00175.jpg,fish,an * below the skinniest gray fish.,fish_a74b9ca19c_2
52,eval/images/person_4baa1ed4aa_2_00090.jpg,person,an * in the back window of the fire truck.,person_4baa1ed4aa_2
53,eval/images/dog_e33c18412a_1_00070.jpg,dog,* faces away from the white curb.,dog_e33c18412a_1
54,eval/images/bucket_ab33a18ded_2_00095.jpg,bucket,a red * resting on the edge of a sandbox.,bucket_ab33a18ded_2
55,eval/images/person_454f227427_2_00240.jpg,person,an * with long black hair.,person_454f227427_2
56,eval/images/ape_551acbffd5_1_00145.jpg,ape,"an adult * that is partially hidden behind a log, but face still mostly visible.",ape_551acbffd5_1
57,eval/images/duck_466ba4ae0c_4_00175.jpg,duck,* is completely behind the pace of the walking man.,duck_466ba4ae0c_4
58,eval/images/bird_c9c3cb3797_3_00090.jpg,bird,an * in the middle of the rocks.,bird_c9c3cb3797_3
