image_name,pair_id,caption
train/image/089844.jpg,7096,the person is facing a glass store display.
train/image/088781.jpg,7013,the person stands by a deck.
train/image/053319.jpg,4217,a person is standing beside a table and facing a door.
train/image/123350.jpg,9749,the person sits with one leg crossed.
train/image/053448.jpg,4224,a person is posing in front of a glass railing.
train/image/034604.jpg,2723,a bed is behind the posing person.
train/image/052168.jpg,4128,a shelf is in front of a standing person.
train/image/089835.jpg,7096,the person poses next to flowers.
train/image/139731.jpg,10993,an unmade bed is behind the person.
train/image/006885.jpg,564,a lime green bed stands behind a person.
train/image/011149.jpg,885,dining chairs stand behind a person.
train/image/167807.jpg,13158,a person stands in front of red curtains.
train/image/043377.jpg,3430,a person stands in front of toiletries.
train/image/005599.jpg,452,trees form a row next to the person.
train/image/013909.jpg,1115,a person poses in front of a painting.
train/image/011130.jpg,885,the person is walking past outdoor seating.
train/image/081944.jpg,6471,"behind a person, another person is at a desk."
train/image/037572.jpg,2946,the desk is behind a standing person.
train/image/013907.jpg,1115,a person stands next to a wall.
train/image/032986.jpg,2594,a person is standing in front of a white cabinet.
train/image/008410.jpg,683,a person is standing on a white floor.
train/image/069591.jpg,5513,a person poses in the kitchen.
train/image/083584.jpg,6588,behind the person are a tv and a brown chair and wardrobe.
train/image/066482.jpg,5262,a person is in front of a white staircase railing.
train/image/182866.jpg,14346,a person stands in front of a swivel chair.
train/image/083849.jpg,6615,a person is standing in front of shelves.
train/image/180269.jpg,14124,the person stands in the middle of a room.
train/image/003849.jpg,309,a purple mat is where the person is sitting.
train/image/158171.jpg,12398,the person is facing a white bunk bed.
train/image/143121.jpg,11227,on an overpass stands a person.
train/image/134539.jpg,10613,a person poses in front of a tall statue.
train/image/011125.jpg,885,the person stands atop a block.
train/image/007240.jpg,588,a basket of red produce is in the hands of a person standing.
train/image/032992.jpg,2594,the person stands in a room.
train/image/109767.jpg,8691,a jacket hangs behind the posing person.
train/image/005619.jpg,452,a beach is in front of the person.
train/image/053439.jpg,4224,glass walls are behind a person.
train/image/066489.jpg,5262,a white bookcase stands behind a person.
train/image/032998.jpg,2594,a person sits on pink furniture.
train/image/083591.jpg,6588,a counter is in front of the person.
train/image/078698.jpg,6212,an upholstered ivory chair is behind the posing person.
train/image/046815.jpg,3694,a beige barstool stands behind a person.
train/image/053684.jpg,4238,a person is on a cobblestone path.
train/image/003857.jpg,309,a person walks down a light colored road.
train/image/033000.jpg,2594,green bunkbeds are on either side of a person.
train/image/019945.jpg,1576,a white brick wall is on one side of a person.
train/image/011135.jpg,885,a person is posing in front of shoes.
train/image/185743.jpg,14582,wooden table and chairs are behind the posing person.
train/image/185744.jpg,14582,a person is standing in front of a doorway.
train/image/089196.jpg,7044,in the corner of the room the person poses.
train/image/140043.jpg,11013,a blue rug is behind a person.
train/image/078703.jpg,6212,a person is sitting on a light-colored couch.
train/image/012294.jpg,993,a person is standing on a floor.
train/image/075632.jpg,5971,a person poses in front of a shop.
train/image/158218.jpg,12402,a person is facing long gold curtains.
train/image/122437.jpg,9678,a bathroom counter has a person standing in front of it.
train/image/149157.jpg,11700,the person faces a neat white vanity.
train/image/143099.jpg,11227,a sink and a counter stands in front of a person.
train/image/046823.jpg,3694,a pair of shoes is by the feet of the person.
train/image/079662.jpg,6282,a person walked on a brick walkway.
train/image/043393.jpg,3430,the person faces a pink couch.
train/image/088767.jpg,7013,a person stands in front of trees.
train/image/180262.jpg,14124,a person stands near a gold phone.
train/image/149257.jpg,11707,a person grabs their clothing.
train/image/008416.jpg,683,the person facing the other way is in front of a wall.
train/image/148823.jpg,11674,a person is standing in front of another person.
train/image/005617.jpg,452,the person sits on boulders.
train/image/164962.jpg,12915,a person is standing in front of a car and a tree.
train/image/077373.jpg,6103,a white wooden door is behind the standing person.
train/image/083866.jpg,6615,a person poses in front of a light brown cabinet.
train/image/083857.jpg,6615,a person poses near a blue towel.
train/image/002648.jpg,221,a person stands by a tan wall.
train/image/127485.jpg,10071,the person is posing on stairs.
train/image/140053.jpg,11013,a person is in the park.
train/image/149256.jpg,11707,a person is looking up at the camera.
train/image/158213.jpg,12402,"in a white bathroom, a person stands."
train/image/042152.jpg,3332,the person stands by a white counter.
train/image/030612.jpg,2416,a person is standing by an open window.
train/image/073880.jpg,5833,a person stands in front of a ladder.
train/image/080667.jpg,6363,a person leans on a tall wardrobe.
train/image/189502.jpg,14881,"in a living room, a person is standing."
train/image/127631.jpg,10080,the person stands between a table and a bed.
train/image/053325.jpg,4217,tall pale cabinets are behind the person.
train/image/167805.jpg,13158,floor-length red curtains hang behind a person.
train/image/051002.jpg,4036,a person is standing in front of a white piece of furniture.
train/image/072623.jpg,5740,a person stands in front of a curtained shelf.
train/image/074025.jpg,5841,a person stands in a room.
train/image/012306.jpg,993,a chair is beside a person.
train/image/185748.jpg,14582,a person stands at twilight.
train/image/167804.jpg,13158,backpacks are behind the posing person.
train/image/141811.jpg,11132,a person stands in front of a glass case.
train/image/134536.jpg,10613,the person sits on an aqua-colored cushion.
train/image/182875.jpg,14346,the person poses by a sports net.
train/image/118437.jpg,9376,a bed is behind a person.
train/image/127618.jpg,10080,black office chairs surround the person.
train/image/158224.jpg,12402,a square bricked street lies below a person.
train/image/190014.jpg,14923,white cabinets are behind the person.
train/image/160039.jpg,12528,a bathroom sink stands in front of a person.
train/image/180274.jpg,14124,a person crouches in front of an art piece.
train/image/007254.jpg,588,a person stands on a street.
train/image/021854.jpg,1735,the person faces a brown dresser.
train/image/127494.jpg,10071,a person poses next to a pink and green basket.
train/image/070355.jpg,5569,a person is facing a entrance door.
train/image/164949.jpg,12915,a person is posing near two colorful parrots.
train/image/043394.jpg,3430,a person is leaning on a railing.
train/image/074029.jpg,5841,a person is standing on the edge of a stair.
train/image/189495.jpg,14881,the carpet is beneath a person who leans on a bar counter.
train/image/143050.jpg,11222,a person poses in a gazebo.
train/image/003839.jpg,309,food is lifted to a person's lips.
train/image/075633.jpg,5971,the person faces posters on a wall.
train/image/051006.jpg,4036,a white bed is behind a posing person.
train/image/078696.jpg,6212,a colorful blanket is behind the person.
train/image/013620.jpg,1096,the person sits in the car.
train/image/079651.jpg,6282,a person stands near a curved tiled bar.
train/image/180263.jpg,14124,a water dispenser is in front of a person.
